,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
603,445.552,446.4,5.607138307550474
604,445.962,445.6,5.624944444170093
605,446.372,445.7,5.292447448959696
606,446.782,442.3,5.254521862167861
607,447.192,443.6,6.452906321960671
608,447.602,441.4,7.241546796092668
609,448.012,439.9,7.408778576796582
610,448.422,440.8,6.337191807101944
611,448.833,444.8,6.2896740774065565
612,449.243,441.8,7.896834808959853
613,449.653,444.1,5.412023651093923
614,450.064,443.6,4.24735211631906
615,450.474,443.1,10.68129205667554
616,450.885,445.3,6.768308503607088
617,451.295,442.7,5.831809324729334
618,451.706,440.4,4.054626986542657
619,452.117,444.6,8.052328855678958
620,452.527,442.9,8.166394553289718
621,452.938,445.0,6.0332412515993425
622,453.349,443.3,5.158488150611572
623,453.76,442.3,6.388270501473776
624,454.171,443.6,9.425497334358543
625,454.581,444.8,5.844655678480984
626,454.992,456.4,5.1807335387954465
627,455.403,447.4,8.16333265278342
628,455.815,442.1,5.923681287847954
629,456.226,445.7,5.478138369920935
630,456.637,445.8,5.2115256883181535
631,457.048,445.4,5.607138307550474
632,457.459,446.8,6.705221845696085
633,457.871,446.4,5.499090833947008
634,458.282,443.2,6.321392251711644
635,458.693,445.1,7.905061669588669
636,459.105,444.2,5.2497618993626745
637,459.516,444.2,4.975942121849891
638,459.928,446.0,7.416198487095663
639,460.339,444.3,7.000714249274855
640,460.751,445.3,5.254521862167861
641,461.163,450.6,8.42852300228219
642,461.574,446.1,4.887739763939974
643,461.986,445.9,6.4876806333234365
644,462.398,444.3,4.980963762164908
645,462.81,445.1,3.0805843601498726
646,463.222,444.6,5.969924622639719
647,463.634,444.9,7.354590403278758
648,464.046,447.3,3.9
649,464.458,444.2,7.678541528180986
650,464.87,446.2,4.214261501141095
651,465.282,447.2,1.6
652,465.694,444.2,6.095900261651268
653,466.106,445.6,4.779121258139408
654,466.518,446.7,5.0408332644514235
655,466.931,446.0,7.835815209663893
656,467.343,443.9,5.906775770248943
657,467.756,441.1,8.299999999999999
658,468.168,444.3,8.944830909525345
659,468.58,441.8,2.6381811916545836
660,468.993,443.5,5.371219600798314
661,469.406,444.2,7.4404300950953095
662,469.818,446.6,6.280127387243032
663,470.231,450.8,6.161168720299746
664,470.644,450.1,5.223983154643591
665,471.056,443.8,6.881860213634101
666,471.469,441.0,5.674504383644443
667,471.882,448.0,6.557438524302
668,472.295,442.7,4.583666654546335
669,472.708,445.4,5.969924622639719
670,473.121,446.2,5.7758116312774614
671,473.534,444.0,4.0743097574926725
672,473.947,444.5,5.5901699437494745
673,474.36,448.0,6.870225614927067
674,474.773,446.4,6.651315659326356
675,475.186,446.8,5.946427498927402
676,475.6,443.6,3.878143885933063
677,476.013,442.4,3.9799497484264794
678,476.426,448.4,3.746998799039039
679,476.84,446.5,4.153311931459037
680,477.253,446.9,6.759437846448475
681,477.667,445.8,4.707440918375927
682,478.08,443.9,5.734980383575866
683,478.494,444.4,5.9531504264548865
684,478.907,446.4,5.37028863283902
685,479.321,445.8,3.9191835884530843
686,479.735,449.0,6.48074069840786
687,480.149,444.6,6.1838499334961226
688,480.562,446.9,5.127377497317707
689,480.976,442.3,4.62709412050371
690,481.39,446.1,5.539855593785815
691,481.804,443.0,7.26636084983398
692,482.218,447.6,7.002856560004638
693,482.632,445.2,7.180529228406496
694,483.046,448.3,5.586591089385369
695,483.46,446.9,5.521775076911409
696,483.874,448.2,3.4
697,484.289,448.1,2.947880594596735
698,484.703,446.1,6.905794668247818
699,485.117,445.7,4.980963762164908
700,485.532,445.3,6.9144775652250114
701,485.946,443.5,6.726812023536855
702,486.36,446.9,5.647123161398199
